,cat,word/character,pronunciation,definition,code,alt,full_pronunciation
54,17,个,gè,<general and non-specific classifier>,s,,gè
55,17,個,gè,<general and non-specific classifier>,t,箇,gè
56,18,到,dào,"to, towards, until, arrive, reach",s,,dào
57,18,到,dào,"to, towards, until, arrive, reach",t,,dào
58,19,说,shuō,"explain, scold, refer to, (Equivalent:  说话 shuōhuà) speak, say",s,,shuō
59,19,說,shuō,"explain, scold, refer to, (Equivalent:  說話 shuōhuà) speak, say",t,,shuō
60,19,说,shuì,try to persuade,s,,shuì
61,19,說,shuì,try to persuade,t,,shuì
62,20,们,men,(pluralizing suffix for pronouns and human nouns),s,,men
63,20,們,men,(pluralizing suffix for pronouns and human nouns),t,,men
64,21,为,wèi,"for, for the sake of, in order to, in this connection",s,,wèi
65,21,為,wèi,"for, for the sake of, in order to, in this connection",t,,wèi
66,21,为,wéi,"do, act, act as, be, become",s,,wéi
67,21,為,wéi,"do, act, act as, be, become",t,,wéi
68,22,子,zǐ,"child, son",s,,zǐ
69,22,子,zǐ,"child, son",t,,zǐ
70,22,子,zi,(noun suffix),s,,zi
71,22,子,zi,(noun suffix),t,,zi
72,23,龢,hé,harmony,t,,hé
73,23,和,hé,"together, with, (Traditional: 龢) harmony, gentle, mild, kind, <family name>",s,,hé
74,23,和,Hé,Japan,s,,Hé
75,23,龢,Hé,Japan,t,,Hé
76,23,和,hè,"join in singing, compose a poem in reply",s,,hè
77,23,龢,hè,"join in singing, compose a poem in reply",t,,hè
78,23,和,huó,mix with water,s,,huó
79,23,龢,huó,mix with water,t,,huó
80,23,和,huò,"mix, blend",s,,huò
81,23,龢,huò,"mix, blend",t,,huò
82,23,和,hú,complete a set in Mahjong,s,,hú
83,23,龢,hú,complete a set in Mahjong,t,,hú
84,24,你,nǐ,"(Alternative feminine form: 妳 nǐ) you, your",s,,nǐ
85,24,你,nǐ,"(Alternative feminine form: 妳 nǐ) you, your",t,,nǐ
86,25,地,dì,"earth, ground, soil, place, position, distance",s,,dì
87,25,地,dì,"earth, ground, soil, place, position, distance",t,,dì
88,25,地,de,"<adverbial particle: descripion + 地 + verb>, ~ly",s,,de
89,25,地,de,"<adverbial particle: descripion + 地 + verb>, ~ly",t,,de
90,26,出,chū,"go out, come out, in direction out from something, emit, issue, prouce",s,,chū
91,26,齣,chū,"go out, come out, in direction out from something, emit, issue, prouce",t,,chū
92,27,道,dào,"way, path, channel, way, say, a streak (of light), doctrine, <classifier for rivers, topics, etc.>, (Equivalent:  道教 Dàojiào) Taoism",s,,dào
93,27,道,dào,"way, path, channel, way, say, a streak (of light), doctrine, <classifier for rivers, topics, etc.>, (Equivalent:  道教 Dàojiào) Taoism",t,,dào
94,27,道,dǎo,(Equivalent:  导 dǎo) lead,s,,dǎo
95,27,道,dǎo,(Equivalent:  導 dǎo) lead,t,,dǎo
96,28,也,yě,"also, as well",s,,yě
97,28,也,yě,"also, as well",t,,yě
98,29,时,shí,"period, season, (Equivalent:  时间 shíjiān, =时候 shíhou) time, (Equivalent:  小时 xiǎoshí) hour",s,,shí
99,29,時,shí,"period, season, (Equivalent:  時間 shíjiān, =時候 shíhou) time, (Equivalent:  小時 xiǎoshí) hour",t,,shí
100,30,年,nián,"year, <family name>",s,,nián
101,30,年,nián,"year, <family name>",t,,nián
102,31,得,de,<adverbial particle: verb + 得 + descripion>,s,,de
103,31,得,de,<adverbial particle: verb + 得 + descripion>,t,,de
104,31,得,dé,"get, reach, achieve",s,,dé
105,31,得,dé,"get, reach, achieve",t,,dé
106,31,得,děi,should,s,,děi
107,31,得,děi,should,t,,děi
108,32,就,jiù,"just, simply, right away",s,,jiù
109,32,就,jiù,"just, simply, right away",t,,jiù
110,33,那,nà,that,s,,nà
111,33,那,nà,that,t,,nà
112,33,那,nèi,that (before classifier),s,,nèi
113,33,那,nèi,that (before classifier),t,,nèi
114,33,那,nǎ,(Equivalent:  哪 nǎ) what?,s,,nǎ
115,33,那,nǎ,(Equivalent:  哪 nǎ) what?,t,,nǎ
116,33,那,něi,(Equivalent:  哪 něi before classifier) which?,s,,něi
117,33,那,něi,(Equivalent:  哪 něi before classifier) which?,t,,něi
118,34,要,yào,"want, will, shall, need, important, essential",s,,yào
119,34,要,yào,"want, will, shall, need, important, essential",t,,yào
120,35,下,xià,"below, under, (go) down, next (as opposed to previous/last){Compare with 上 shàng above}",s,,xià
121,35,下,xià,"below, under, (go) down, next (as opposed to previous/last){Compare with 上 shàng above}",t,,xià
122,36,以,yǐ,"use, take, according to, because of, in order to",s,,yǐ
123,36,以,yǐ,"use, take, according to, because of, in order to",t,,yǐ
124,37,生,shēng,"give birth, life",s,,shēng
125,37,生,shēng,"give birth, life",t,,shēng
126,38,会,huì,"can, able, meet, meeting, society, union, party",s,,huì
127,38,會,huì,"can, able, meet, meeting, society, union, party",t,,huì
128,39,自,zì,"from, since, (Equivalent:  自己 zìjǐ) self",s,,zì
129,39,自,zì,"from, since, (Equivalent:  自己 zìjǐ) self",t,,zì
130,40,着,zhe,<verb particle marking a continuing progress/state>,s,,zhe
131,40,著,zhe,<verb particle marking a continuing progress/state>,t,,zhe
132,40,着,zháo,touch,s,,zháo
133,40,著,zháo,touch,t,,zháo
134,40,着,zhuó,"wear clothes, dress, touch",s,,zhuó
135,40,著,zhuó,"wear clothes, dress, touch",t,,zhuó
136,40,招,zhāo,make move in chess,t,,zhāo
137,40,着,zhāo,"put in, add, (Traditional: 招) make move in chess, trick, decieve",s,,zhāo
138,40,著,zhāo,"put in, add, trick, decieve",t,,zhāo
139,41,去,qù,"go, leave, depart (opposite of 来 lái)",s,,qù
140,41,去,qù,"go, leave, depart (opposite of 來 lái)",t,,qù
141,42,之,zhī,"<subordinator similar to 的 de>, it (in classical texts)",s,,zhī
142,42,之,zhī,"<subordinator similar to 的 de>, it (in classical texts)",t,,zhī
143,43,过,guò,"pass, cross, go by, exceed, <verb particle marking that someone has had the experience of doing something, that it hashappened at least once>",s,,guò
144,43,過,guò,"pass, cross, go by, exceed, <verb particle marking that someone has had the experience of doing something, that it hashappened at least once>",t,,guò
145,44,家,jiā,"home, house, family",s,,jiā
146,44,家,jiā,"home, house, family",t,,jiā
147,45,学,xué,"study, learn",s,,xué
148,45,學,xué,"study, learn",t,,xué
149,46,对,duì,"correct, answer, treat, agree, mutual, pair",s,,duì
150,46,對,duì,"correct, answer, treat, agree, mutual, pair",t,,duì
151,47,可,kě,"~able, (Equivalent:  可以 kěyǐ) may, can, (Equivalent:  可是 kěshì) but, however",s,,kě
152,47,可,kě,"~able, (Equivalent:  可以 kěyǐ) may, can, (Equivalent:  可是 kěshì) but, however",t,,kě
153,48,她,tā,"she, her",s,,tā
154,48,她,tā,"she, her",t,,tā
155,49,裏,lǐ,in,t,裡,lǐ
156,49,里,lǐ,"neighbourhood, half kilometer, <family name>, (Traditional: 里,裡) in, inside, lining",s,,lǐ
157,49,里,lǐ,"neighbourhood, half kilometer, <family name>, inside, lining",t,,lǐ
158,50,後,hòu,after,t,,hòu
159,50,后,hòu,"queen, (Traditional: 后) after, behind, <family name>",s,,hòu
160,51,小,xiǎo,small,s,,xiǎo
161,51,小,xiǎo,small,t,,xiǎo
162,52,麼,me/mo,(interrogative suffix,t,末,me/mo
163,52,么,me/mo,"(Traditional: 麼,末) (interrogative suffix) 什么? shénme? what?",s,,me/mo
164,52,么,yāo,"youngest, one (e.g. in bus/house/phone numbers)",s,,yāo
165,52,麼,yāo,"(Simplified:  幺) youngest, one (e.g. in bus/house/phone numbers)",t,,yāo
166,53,心,xīn,heart,s,,xīn
167,53,心,xīn,heart,t,,xīn
168,54,多,duō,"many, much, more",s,,duō
169,54,多,duō,"many, much, more",t,,duō
170,55,天,tiān,"sky, heaven, god, day, (Equivalent:  天空 tiānkōng) sky",s,,tiān
171,55,天,tiān,"sky, heaven, god, day, (Equivalent:  天空 tiānkōng) sky",t,,tiān
172,56,而,ér,"(Equivalent:  而且 érqiě) and, furthermore, (Equivalent:  然而 rán'ér) yet, even so",s,,ér
173,56,而,ér,"(Equivalent:  而且 érqiě) and, furthermore, (Equivalent:  然而 rán'ér) yet, even so",t,,ér
174,57,能,néng,"can, be able",s,,néng
175,57,能,néng,"can, be able",t,,néng
176,58,好,hǎo,"good, good to..., easy to...",s,,hǎo
177,58,好,hǎo,"good, good to..., easy to...",t,,hǎo
178,58,好,hào,to like,s,,hào
179,58,好,hào,to like,t,,hào
180,59,都,dōu,all,s,,dōu
181,59,都,dōu,all,t,,dōu
182,60,然,rán,"right, correct, so, like that",s,,rán
183,60,然,rán,"right, correct, so, like that",t,,rán
184,61,没,méi,"(Equivalent:  没有 méiyǒu) haven't, there isn't",s,,méi
185,61,沒,méi,"(Equivalent:  沒有 méiyǒu) haven't, there isn't",t,,méi
186,61,没,mò,"sink, overflow, disappear, confiscate",s,,mò
187,61,沒,mò,"sink, overflow, disappear, confiscate",t,,mò
188,62,日,rì,"sun, (Equivalent:  日子 rìzi) day",s,,rì
189,62,日,rì,"sun, (Equivalent:  日子 rìzi) day",t,,rì
190,63,於,yú,in,t,,yú
191,63,于,yú,"<family name>, (Traditional: 於) in, at, for, to, from, by, than{Compare with 千 qiān thousand and 干 gān stem}",s,,yú
192,63,于,yú,"<family name>, in, at, for, to, from, by, than{Compare with 千 qiān thousand and 干 gān stem}",t,,yú
193,64,起,qǐ,"rise, start",s,,qǐ
194,64,起,qǐ,"rise, start",t,,qǐ
195,64,起,qi,(when used as a verb complement),s,,qi
196,64,起,qi,(when used as a verb complement),t,,qi
197,65,还,hái,"still, yet",s,,hái
198,65,還,hái,"still, yet",t,,hái
199,65,还,huán,"return, give back",s,,huán
200,65,還,huán,"return, give back",t,,huán
201,66,發,fā,deliver,t,,fā
202,66,发,fā,"(Traditional: 发) deliver, utter, express, shoot, emit, develop, expand",s,,fā
203,66,髮,fà,hair,t,,fà
204,66,发,fà,(Traditional: 发) hair,s,,fà
205,67,成,chéng,"(Equivalent:  成为 chéngwéi, =变成 biànchéng) become, <family name>",s,,chéng
206,67,成,chéng,"(Equivalent:  成為 chéngwéi, =變成 biànchéng) become, <family name>",t,,chéng
207,68,事,shì,"matter, affair, thing, event, accident, job, responsibility",s,,shì
208,68,事,shì,"matter, affair, thing, event, accident, job, responsibility",t,,shì
209,69,只,zhǐ,"only, just, merely, <classifier implying ""one of a pair"", animals, vessels, utensils, etc.>",s,,zhǐ
210,69,祇,zhǐ,"only, just, merely, <classifier implying ""one of a pair"", animals, vessels, utensils, etc.>",t,,zhǐ
211,69,隻,zhī,single,t,,zhī
212,70,作,zuò,"do, make",s,,zuò
213,70,作,zuò,"do, make",t,,zuò
214,70,作,zuō,do,s,,zuō
215,70,作,zuō,do,t,,zuō
216,71,當,dāng,serve as,t,,dāng
217,71,噹,dāng,ding-dong,t,,dāng
218,71,当,dāng,"(Traditional: 当) serve as, (Traditional: 当) ding-dong",s,,dāng
219,72,想,xiǎng,"think, feel, consider, want, remember",s,,xiǎng
220,72,想,xiǎng,"think, feel, consider, want, remember",t,,xiǎng
221,73,看,kàn,"see, look at, read, think, consider",s,,kàn
222,73,看,kàn,"see, look at, read, think, consider",t,,kàn
223,73,看,kān,"look after, tend",s,,kān
224,73,看,kān,"look after, tend",t,,kān
225,74,文,wén,"language, literature, <family name>",s,,wén
226,74,文,wén,"language, literature, <family name>",t,,wén
227,75,无,wú,"without, nothingness, have not",s,,wú
228,75,無,wú,"without, nothingness, have not",t,,wú
229,76,开,kāi,open,s,,kāi
230,76,開,kāi,open,t,,kāi
231,77,手,shǒu,"hand, a person skilled in something",s,,shǒu
232,77,手,shǒu,"hand, a person skilled in something",t,,shǒu
233,78,十,shí,ten,s,拾,shí
234,78,十,shí,ten,t,拾,shí
235,79,用,yòng,use,s,,yòng
236,79,用,yòng,use,t,,yòng
237,80,主,zhǔ,"lord, master, host, god, (Equivalent:  主要 zhǔyào) main, primary",s,,zhǔ
238,80,主,zhǔ,"lord, master, host, god, (Equivalent:  主要 zhǔyào) main, primary",t,,zhǔ
239,81,行,xíng,"go, OK",s,,xíng
240,81,行,xíng,"go, OK",t,,xíng
241,81,行,háng,line,s,,háng
242,81,行,háng,line,t,,háng
243,81,行,héng,(phonetic radical),s,,héng
244,81,行,héng,(phonetic radical),t,,héng
245,82,方,fāng,"side, square",s,,fāng
246,82,方,fāng,"side, square",t,,fāng
247,83,又,yòu,"again, both... and...",s,,yòu
248,83,又,yòu,"again, both... and...",t,,yòu
249,84,如,rú,"like, as, as if, (Equivalent:  如果 rúguǒ) if",s,,rú
250,84,如,rú,"like, as, as if, (Equivalent:  如果 rúguǒ) if",t,,rú
251,85,前,qián,"in front, previous, ago, former, first",s,,qián
252,85,前,qián,"in front, previous, ago, former, first",t,,qián
253,86,所,suǒ,place,s,,suǒ
254,86,所,suǒ,place,t,,suǒ
255,87,本,běn,"basis, origin, edition, <classifier for books, periodicals, files, etc.>",s,,běn
256,87,本,běn,"basis, origin, edition, <classifier for books, periodicals, files, etc.>",t,,běn
257,88,见,jiàn,"appear to be, meet with, call on, (Equivalent:  看见 kànjian) see",s,,jiàn
258,88,見,jiàn,"appear to be, meet with, call on, (Equivalent:  看見 kànjian) see",t,,jiàn
259,88,见,xiàn,"show, appear, become visible{Compare with 贝 bèi shellfish}",s,,xiàn
260,88,見,xiàn,"show, appear, become visible{Compare with 貝 bèi shellfish}",t,,xiàn
261,89,经,jīng,"longitude (both geographic and in Chinese medecin), scripture, constant, regular, <family name>, deal with, (Equivalent:  经纪 jīngjì)manage (a business)",s,,jīng
262,89,經,jīng,"longitude (both geographic and in Chinese medecin), scripture, constant, regular, <family name>, deal with, (Equivalent:  經紀 jīngjì)manage (a business)",t,,jīng
263,90,头,tóu,"head, top, first, <classifier for livestock, garlic, etc.>",s,,tóu
264,90,頭,tóu,"head, top, first, <classifier for livestock, garlic, etc.>",t,,tóu
265,91,麵,miàn,wheat flour,t,,miàn
266,91,面,miàn,"face, surface, <classifier for mirrors, flags, etc.>, (Traditional: 面) wheat flour, (Equivalent:  面条 miàntiáo) noodle",s,,miàn
267,92,公,gōng,"public, official",s,,gōng
268,92,公,gōng,"public, official",t,,gōng
269,93,同,tóng,"same, with",s,,tóng
270,93,衕,tóng,"same, with",t,,tóng
271,94,三,sān,three,s,叁,sān
272,94,三,sān,three,t,叁,sān
273,95,已,yǐ,"stop, cease, end, (Equivalent:  已经 yǐjīng) already{Compare with 己 jǐ self, which is ""open"" on the left side}",s,,yǐ
274,95,已,yǐ,"stop, cease, end, (Equivalent:  已經 yǐjīng) already{Compare with 己 jǐ self, which is ""open"" on the left side}",t,,yǐ
275,96,老,lǎo,"old, venerable, outdated",s,,lǎo
276,96,老,lǎo,"old, venerable, outdated",t,,lǎo
277,97,从,cóng,"from, through, join, follower, secondary",s,,cóng
278,97,從,cóng,"from, through, join, follower, secondary",t,,cóng
279,98,动,dòng,"move, change, arouce",s,,dòng
280,98,動,dòng,"move, change, arouce",t,,dòng
281,99,两,liǎng,"two (before classifier), 50 grams",s,,liǎng
282,99,兩,liǎng,"two (before classifier), 50 grams",t,,liǎng
283,100,长,cháng,"long, lasting, length",s,,cháng
284,100,長,cháng,"long, lasting, length",t,,cháng
285,100,长,zhǎng,"grow up, chief, head, older, elder",s,,zhǎng
286,100,長,zhǎng,"grow up, chief, head, older, elder",t,,zhǎng
287,101,知,zhī,"realize, sense, inform, tell, (Equivalent:  知道 zhīdào) know",s,,zhī
288,101,知,zhī,"realize, sense, inform, tell, (Equivalent:  知道 zhīdào) know",t,,zhī
289,101,智,zhì,"wit, (Equivalent:  智慧 zhìhuì) wisdom, (Equivalent:  智力 zhìlì) intellect",s,,zhì
290,101,智,zhì,"wit, (Equivalent:  智慧 zhìhuì) wisdom, (Equivalent:  智力 zhìlì) intellect",t,,zhì
291,102,民,mín,"(Equivalent:  人民 rénmín) people, <family name>",s,,mín
292,102,民,mín,"(Equivalent:  人民 rénmín) people, <family name>",t,,mín
293,103,样,yàng,"appearance, shape, form, manner",s,,yàng
294,103,樣,yàng,"appearance, shape, form, manner",t,,yàng
295,104,现,xiàn,"show, appear, current",s,,xiàn
296,104,現,xiàn,"show, appear, current",t,,xiàn
297,105,分,fēn,"divide, fraction, minute, cent",s,,fēn
298,105,分,fēn,"divide, fraction, minute, cent",t,,fēn
299,105,分,fèn,limits of rights or duty,s,,fèn
300,105,分,fèn,limits of rights or duty,t,,fèn
301,106,将,jiāng,shall,s,,jiāng
302,106,將,jiāng,shall,t,,jiāng
303,107,外,wài,"outside, outer, other, foreign, beyond, relative on ones mother's/sisters/wife's side",s,,wài
304,107,外,wài,"outside, outer, other, foreign, beyond, relative on ones mother's/sisters/wife's side",t,,wài
305,108,但,dàn,"(Equivalent:  但是 dànshì) but, still, nevertheless, however, yet",s,,dàn
306,108,但,dàn,"(Equivalent:  但是 dànshì) but, still, nevertheless, however, yet",t,,dàn
307,109,身,shēn,"life, incarnation, <classifier for suits of clothing>, (Equivalent:  身体 shēntǐ) body",s,,shēn
308,109,身,shēn,"life, incarnation, <classifier for suits of clothing>, (Equivalent:  身體 shēntǐ) body",t,,shēn
309,110,些,xiē,"some, <classifier for plural or indefinite/small amount>",s,,xiē
310,110,些,xiē,"some, <classifier for plural or indefinite/small amount>",t,,xiē
311,111,与,yǔ,"give, offer, help, support, and",s,,yǔ
312,111,與,yǔ,"give, offer, help, support, and",t,,yǔ
313,111,欤,yú, <interrogative/esclamative particle>{Compare with 写 xiě write},s,,yú
314,111,歟,yú, <interrogative/esclamative particle>{Compare with 寫 xiě write},t,,yú
315,112,高,gāo,"high, tall, loud, <polite> your, <family name>",s,,gāo
316,112,高,gāo,"high, tall, loud, <polite> your, <family name>",t,,gāo
317,113,意,yì,"(Equivalent:  意思 yìsi, =意义 yìyì) meaning, idea, (Equivalent:  愿意 yuànyi) wish, desire",s,,yì
318,113,意,yì,"(Equivalent:  意思 yìsi, =意義 yìyì) meaning, idea, (Equivalent:  願意 yuànyi) wish, desire",t,,yì
319,114,进,jìn,"enter, go forward, receive, drink, eat, submit",s,,jìn
320,114,進,jìn,"enter, go forward, receive, drink, eat, submit",t,,jìn
321,115,把,bǎ,"grasp, hold, handle, <classifier for things with handles, handfuls, chairs, etc.>",s,,bǎ
322,115,把,bǎ,"grasp, hold, handle, <classifier for things with handles, handfuls, chairs, etc.>",t,,bǎ
323,116,法,fǎ,"(Equivalent:  法律 fǎlǜ) law, (Equivalent:  办法 bànfǎ) method",s,,fǎ
324,116,法,fǎ,"(Equivalent:  法律 fǎlǜ) law, (Equivalent:  辦法 bànfǎ) method",t,,fǎ
325,117,此,cǐ,this,s,,cǐ
326,117,此,cǐ,this,t,,cǐ
327,118,实,shí,"solid, true, real",s,,shí
328,118,實,shí,"solid, true, real",t,,shí
329,119,回,huí,"circle, return, reply, turns, times, chapter, Muslim, Hui (ethnic minority), <classifier for chapters, times, etc.>",s,,huí
330,119,回,huí,"circle, return, reply, turns, times, chapter, Muslim, Hui (ethnic minority), <classifier for chapters, times, etc.>",t,,huí
331,120,二,èr,two,s,贰,èr
332,120,二,èr,two,t,贰,èr
333,121,理,lǐ,principle,s,,lǐ
334,121,理,lǐ,principle,t,,lǐ
335,122,美,měi,"(Equivalent:  美丽 meilì) beautiful, (Equivalent:  好 hǎo) good, (Equivalent:  美德 měidé) virtue, <family name>",s,,měi
336,122,美,měi,"(Equivalent:  美麗 meilì) beautiful, (Equivalent:  好 hǎo) good, (Equivalent:  美德 měidé) virtue, <family name>",t,,měi
337,123,点,diǎn,"a drop (of liquid), dot, decimal point, a little, a bit, appoint time, select, choose, order food/drink, <classifier for small amounts>, (Equivalent:  点火 diǎnhuǒ) light a fire",s,,diǎn
338,123,點,diǎn,"a drop (of liquid), dot, decimal point, a little, a bit, appoint time, select, choose, order food/drink, <classifier for small amounts>, (Equivalent:  點火 diǎnhuǒ) light a fire",t,,diǎn
339,124,月,yuè,"month, (Equivalent:  月亮 yuèliang, =月球 yuèqiú) moon",s,,yuè
340,124,月,yuè,"month, (Equivalent:  月亮 yuèliang, =月球 yuèqiú) moon",t,,yuè
341,125,明,míng,"bright, clear, distinct, next (day or year), <family name>",s,,míng
342,125,明,míng,"bright, clear, distinct, next (day or year), <family name>",t,,míng
343,126,其,qí,"its, that, such, they, them",s,,qí
344,126,其,qí,"its, that, such, they, them",t,,qí
345,126,其,jī,anniversary,s,,jī
346,126,其,jī,anniversary,t,,jī
347,127,种,zhǒng,"kind, sort, breed, race",s,,zhǒng
348,127,種,zhǒng,"kind, sort, breed, race",t,,zhǒng
349,127,种,zhòng,"to plant, cultivate",s,,zhòng
350,127,種,zhòng,"to plant, cultivate",t,,zhòng
351,128,声,shēng,"voice, declaration, (Equivalent:  声音 shēngyīn) sound, <classifier for sounds>",s,,shēng
352,128,聲,shēng,"voice, declaration, (Equivalent:  聲音 shēngyīn) sound, <classifier for sounds>",t,,shēng
353,129,全,quán,"whole, entire, total, complete, <family name>",s,,quán
354,129,全,quán,"whole, entire, total, complete, <family name>",t,,quán
355,130,工,gōng,"(Equivalent:  工作 gōngzuò) work, job",s,,gōng
356,130,工,gōng,"(Equivalent:  工作 gōngzuò) work, job",t,,gōng
357,131,己,jǐ,"(Equivalent:  自己 zìjǐ) self{Compare with 已 yǐ already, which is ""closed"" on the left side}",s,,jǐ
358,131,己,jǐ,"(Equivalent:  自己 zìjǐ) self{Compare with 已 yǐ already, which is ""closed"" on the left side}",t,,jǐ
359,132,话,huà,"speech, word, language, dialect, (Equivalent:  说话 shuōhuà) talk, speak",s,,huà
360,132,話,huà,"speech, word, language, dialect, (Equivalent:  說話 shuōhuà) talk, speak",t,,huà
361,133,儿,ér,child,s,,ér
362,133,兒,ér,child,t,,ér
363,133,儿,r,(noun suffix),s,,r
364,133,兒,r,(noun suffix),t,,r
365,134,者,zhě,one who...,s,,zhě
366,134,者,zhě,one who...,t,,zhě
367,135,嚮,xiàng,direction,t,,xiàng
368,135,曏,xiàng,formerly,t,,xiàng
369,135,向,xiàng,"take somebody's part, to, towards, all along, allways, <family name>, (Traditional: 嚮) direction, towards, (Traditional: 曏) formerly, previously",s,,xiàng
370,135,向,xiàng,"take somebody's part, to, towards, all along, allways, <family name>, towards, previously",t,,xiàng
371,136,情,qíng,"sensibility, (Equivalent:  感情 gǎnqíng) feeling, emotion",s,,qíng
372,136,情,qíng,"sensibility, (Equivalent:  感情 gǎnqíng) feeling, emotion",t,,qíng
373,137,部,bù,"(Equivalent:  部分 bùfen) part, section, unit, <classifier for film, large books, machines, etc.>, (Equivalent:  部队 bùduì) troops, army",s,,bù
374,137,部,bù,"(Equivalent:  部分 bùfen) part, section, unit, <classifier for film, large books, machines, etc.>, (Equivalent:  部隊 bùduì) troops, army",t,,bù
375,138,正,zhèng,"right, straight, upright, correct",s,,zhèng
376,138,正,zhèng,"right, straight, upright, correct",t,,zhèng
377,139,名,míng,"(Equivalent:  名字 míngzi) name, personal name",s,,míng
378,139,名,míng,"(Equivalent:  名字 míngzi) name, personal name",t,,míng
379,140,定,dìng,"fix, settle, calm, stable, subscribe, (Equivalent:  决定 juédìng) decide",s,,dìng
380,140,定,dìng,"fix, settle, calm, stable, subscribe, (Equivalent:  決定 juédìng) decide",t,,dìng
381,141,女,nǚ,"female, (Equivalent:  女人 nǚrén, =妇女 fùnǚ) woman",s,,nǚ
382,141,女,nǚ,"female, (Equivalent:  女人 nǚrén, =婦女 fùnǚ) woman",t,,nǚ
383,142,问,wèn,"ask, examine",s,,wèn
384,142,問,wèn,"ask, examine",t,,wèn
385,143,力,lì,"(Equivalent:  活力 nénglì) energy, vitality, <family name>, (Equivalent:  力量 lìliang) strength, force",s,,lì
386,143,力,lì,"(Equivalent:  活力 nénglì) energy, vitality, <family name>, (Equivalent:  力量 lìliang) strength, force",t,,lì
387,144,机,jī,(Equivalent:  机器 jīqi) machine,s,,jī
388,144,機,jī,(Equivalent:  機器 jīqi) machine,t,,jī
389,145,给,gěi,"give, give to, for, for the benefit of",s,,gěi
390,145,給,gěi,"give, give to, for, for the benefit of",t,,gěi
391,146,等,děng,"equal, class, wait, and so on, etc.",s,,děng
392,146,等,děng,"equal, class, wait, and so on, etc.",t,,děng
393,147,幾,jī,幾乎 jīhū almost,t,,jī
394,147,几,jī,"small table, (Traditional: 几) 几乎 jīhū almost",s,,jī
395,147,幾,jǐ,how many?,t,,jǐ
396,148,很,hěn,"very, quite",s,,hěn
397,148,很,hěn,"very, quite",t,,hěn
398,149,业,yè,"line of business, trade, occupation, profession, course of study, engage in, <family name>",s,,yè
399,149,業,yè,"line of business, trade, occupation, profession, course of study, engage in, <family name>",t,,yè
