cat,word/character,pronunciation,definition,code,alt
5,你来了! Nǐ láile! You have come! 我累了! Wǒ lèile! I've gottentired! 那好了! Nà hǎole! That's OK (now)! 我只请了一位客人,le,你来了! Nǐ láile! You have come! 我累了! Wǒ lèile! I've gottentired! 那好了! Nà hǎole! That's OK (now)! 我只请了一位客人. Wǒ zhǐ qǐngle yí wèi kèren. I invited only one guest.,t,
5,了解,liǎo," liǎojiě) understand, comprehend",s,
5,了解,liǎo,"end, finish, settle, dispose of, know clearly, to be able, (=了解 liǎojiě) understand, comprehend",t,
5,了了,liǎo," liǎoliaǒ clearly understand, settle (a debt/etc.), to be intelligent",s,
5,了了,liǎo,"了了 liǎoliaǒ clearly understand, settle (a debt/etc.), to be intelligent",t,
5,了了,liǎo, liǎole to be over/ended/finnish/settled,s,
5,了了,liǎo,了了 liǎole to be over/ended/finnish/settled,t,
5,你卖不了,liǎo,! Nǐ mài bùliǎo! You will not be able to sell (it)!,s,
5,你卖不了,liǎo,你卖不了! Nǐ mài bùliǎo! You will not be able to sell (it)!,t,
5,瞭 liaò) to survey/watch{Compare with 子,liào, zǐ child},s,
5,瞭 liaò) to survey/watch{Compare with 子,liào,(=瞭 liaò) to survey/watch{Compare with 子 zǐ child},t,
6,人,rén,person,s,
6,人,rén,person,t,
6,人类,rén, rénlèi humankind,s,
6,人类,rén,人类 rénlèi humankind,t,
6,有人吗? yǒu rén ma? Is there anybody here?{Compare with 入,rén, rù enter},s,
6,有人吗? yǒu rén ma? Is there anybody here?{Compare with 入,rén,有人吗? yǒu rén ma? Is there anybody here?{Compare with 入 rù enter},t,
7,我,wǒ,"I, me, my",s,
7,我,wǒ,"I, me, my",t,
7,"我们 wǒmen we, us{Compare with 找",wǒ, zhǎo seek},s,
7,"我们 wǒmen we, us{Compare with 找",wǒ,"我们 wǒmen we, us{Compare with 找 zhǎo seek}",t,
8,在,zài,at,s,
8,在,zài,at,t,
8,现在,zài, xiànzài now,s,
8,现在,zài,现在 xiànzài now,t,
8,存在,zài, cúnzài exist,s,
8,存在,zài,存在 cúnzài exist,t,
9,有,yǒu,"have, there is",s,
9,有,yǒu,"have, there is",t,
9,没有,yǒu," méiyǒu haven't, there isn't",s,
9,没有,yǒu,"没有 méiyǒu haven't, there isn't",t,
9,有没有,yǒu,? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?,s,
9,有没有,yǒu,有没有? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?,t,
9,有的,yǒu, yǒude some,s,
9,有的,yǒu,有的 yǒude some,t,
9,有,yòu,"(=又 yòu) again, both... and...",s,
9,有,yòu,"(=又 yòu) again, both... and...",t,
10,他,tā,"he, him, his, (she, her, it, its), (=其他 qítā) other",s,
10,他,tā,"he, him, his, (she, her, it, its), (=其他 qítā) other",t,
10,他,tuō,"(in classical texts) someone else, something else",s,
10,他,tuō,"(in classical texts) someone else, something else",t,
11,这,zhè,this,s,
11,這,zhè,this,t,
11,这儿,zhè, zhèr here,s,
11,这儿,zhè,这儿 zhèr here,t,
11,这,zhèi,this (before classifier),s,
11,這,zhèi,this (before classifier),t,
12,中,zhōng,"middle, in",s,
12,中,zhōng,"middle, in",t,
12,中国,zhōng, Zhōngguó China,s,
12,中国,zhōng,中国 Zhōngguó China,t,
12,中,zhòng,hit (a target),s,
12,中,zhòng,hit (a target),t,
13,大,dà,big,s,
13,大,dà,big,t,
13,多大,dà,? duōdà? how large?,s,
13,多大,dà,多大? duōdà? how large?,t,
13,大小,dà, dàxiǎo size,s,
13,大小,dà,大小 dàxiǎo size,t,
13,大家,dà, dàjiā everybody,s,
13,大家,dà,大家 dàjiā everybody,t,
13,大夫 dàifu doctor{Compare with 太 tài very and 木,dài, mù tree},s,
13,大夫 dàifu doctor{Compare with 太 tài very and 木,dài,大夫 dàifu doctor{Compare with 太 tài very and 木 mù tree},t,
14,来,lái,come,s,
14,來,lái,come,t,
14,原来,lái," yuánlái originally, as a matter of fact",s,
14,原来,lái,"原来 yuánlái originally, as a matter of fact",t,
14,来年,lái, láinián coming/next year(s),s,
14,来年,lái,来年 láinián coming/next year(s),t,
14,来,lai,(when used as a verb complement),s,
14,來,lai,(when used as a verb complement),t,
14,起来,lai, qǐlai get up,s,
14,起来,lai,起来 qǐlai get up,t,
15,上,shàng,"above, on, over, top, (go) up, last, previous",s,
15,上,shàng,"above, on, over, top, (go) up, last, previous",t,
15,上声,shǎng, shǎngshēng 3rd tone in Mandarin,s,
15,上声,shǎng,上声 shǎngshēng 3rd tone in Mandarin,t,
15,上,shang,(when used as a verb complement){Compare with 下 xià under},s,
15,上,shang,(when used as a verb complement){Compare with 下 xià under},t,
16,国,guó,"(=国家 guójiā) country, state, nation, <family name>",s,
16,國,guó,"(=国家 guójiā) country, state, nation, <family name>",t,
16,中国,guó, Zhōngguó China,s,
16,中国,guó,中国 Zhōngguó China,t,
16,美国,guó, Měiguó USA,s,
16,美国,guó,美国 Měiguó USA,t,
17,个,gè,<general and non-specific classifier>,s,
17,"個,箇",gè,<general and non-specific classifier>,t,
17,个人,gè, gèrén personal,s,
17,个人,gè,个人 gèrén personal,t,
17,个人主页,gè, gèrénzhùyè personal homepage,s,
17,个人主页,gè,个人主页 gèrénzhùyè personal homepage,t,
17,自个,gě, zìgě oneself,s,
17,自个,gě,自个 zìgě oneself,t,
18,到,dào,"to, towards, until, arrive, reach",s,
18,到,dào,"to, towards, until, arrive, reach",t,
19,说,shuō,"explain, scold, refer to, (=说话 shuōhuà) speak, say",s,
19,說,shuō,"explain, scold, refer to, (=说话 shuōhuà) speak, say",t,
19,游说,shuō, yóushuō persuade,s,
19,游说,shuō,游说 yóushuō persuade,t,
19,说,shuì,try to persuade,s,
19,說,shuì,try to persuade,t,
19,游说,shuì, yóushuì lobbying,s,
19,游说,shuì,游说 yóushuì lobbying,t,
20,们,men,(pluralizing suffix for pronouns and human nouns),s,
20,們,men,(pluralizing suffix for pronouns and human nouns),t,
20,我们,men, wǒmen we,s,
20,我们,men,我们 wǒmen we,t,
20,人们,men, rénmen people,s,
20,人们,men,人们 rénmen people,t,
21,为,wèi,"for, for the sake of, in order to, in this connection",s,
21,為,wèi,"for, for the sake of, in order to, in this connection",t,
21,为,wéi,"do, act, act as, be, become",s,
21,為,wéi,"do, act, act as, be, become",t,
21,认为,wéi, rènwéi think or believe that...,s,
21,认为,wéi,认为 rènwéi think or believe that...,t,
21,以为 yǐwéi think or believe erroneously that...{Compare with 办,wéi, bàn do},s,
21,以为 yǐwéi think or believe erroneously that...{Compare with 办,wéi,以为 yǐwéi think or believe erroneously that...{Compare with 办 bàn do},t,
22,子,zǐ,"child, son",s,
22,子,zǐ,"child, son",t,
22,子女,zǐ, zǐnǚ sons and daughters,s,
22,子女,zǐ,子女 zǐnǚ sons and daughters,t,
22,儿子,zǐ, érzi son,s,
22,儿子,zǐ,儿子 érzi son,t,
22,子,zi,(noun suffix),s,
22,子,zi,(noun suffix),t,
22,桌子 zhuōzi table{Compare with 了,zi, le <particle>},s,
22,桌子 zhuōzi table{Compare with 了,zi,桌子 zhuōzi table{Compare with 了 le <particle>},t,
23,龢,hé,harmony,t,
23,和,hé,"together, with, (F 龢) harmony, gentle, mild, kind, <family name>",s,
23,和,hé,"together, with, gentle, mild, kind, <family name>",t,
23,和平,hé, hépíng peace,s,
23,和平,hé,和平 hépíng peace,t,
23,和,Hé,Japan,s,
23,和,Hé,Japan,t,
23,暖和,huo, nuǎnhuo nice and warm,s,
23,暖和,huo,暖和 nuǎnhuo nice and warm,t,
23,和,hè,"join in singing, compose a poem in reply",s,
23,和,hè,"join in singing, compose a poem in reply",t,
23,和,huó,mix with water,s,
23,和,huó,mix with water,t,
23,和,huò,"mix, blend",s,
23,和,huò,"mix, blend",t,
23,和,hú,complete a set in Mahjong,s,
23,和,hú,complete a set in Mahjong,t,
24,你,nǐ,"(Alternative feminine form: 妳 nǐ) you, your",s,
24,你,nǐ,"(Alternative feminine form: 妳 nǐ) you, your",t,
24,你们,nǐ, nǐmen you (plural),s,
24,你们,nǐ,你们 nǐmen you (plural),t,
25,地,dì,"earth, ground, soil, place, position, distance",s,
25,地,dì,"earth, ground, soil, place, position, distance",t,
25,地支,dì, dìzhī the Twelve Terrestrial Branches,s,
25,地支,dì,地支 dìzhī the Twelve Terrestrial Branches,t,
25,地,de,"<adverbial particle: descripion + 地 + verb>, ~ly",s,
25,地,de,"<adverbial particle: descripion + 地 + verb>, ~ly",t,
25,快地走,de, kuàide zǒu walk quickly,s,
25,快地走,de,快地走 kuàide zǒu walk quickly,t,
26,出,chū,"go out, come out, in direction out from something, emit, issue, prouce",s,
26,出,chū,"go out, come out, in direction out from something, emit, issue, prouce",t,
26,齣,chū,<classifier for operas and plays>,t,
26,出现,chū," chūxiàn appear, emerge, (F 齣) <classifier for operas and plays>",s,
26,出现,chū,"出现 chūxiàn appear, emerge",t,
27,道,dào,"way, path, channel, way, say, a streak (of light), doctrine, <classifier for rivers, topics, etc.>, (=道教 Dàojiào) Taoism",s,
27,道,dào,"way, path, channel, way, say, a streak (of light), doctrine, <classifier for rivers, topics, etc.>, (=道教 Dàojiào) Taoism",t,
27,知道,dào,zhīdao know,s,
27,知道,dào,知道zhīdao know,t,
27,道,dǎo,(=导 dǎo) lead,s,
27,道,dǎo,(=导 dǎo) lead,t,
27,领道 = 领导,dǎo, lǐngdǎo leader,s,
27,领道 = 领导,dǎo,领道 = 领导 lǐngdǎo leader,t,
28,也,yě,"also, as well",s,
28,也,yě,"also, as well",t,
28,也许,yě, yěxǔ perhaps,s,
28,也许,yě,也许 yěxǔ perhaps,t,
29,时,shí,"period, season, (=时间 shíjiān, =时候 shíhou) time, (=小时 xiǎoshí) hour",s,
29,時,shí,"period, season, (=时间 shíjiān, =时候 shíhou) time, (=小时 xiǎoshí) hour",t,
30,年,nián,"year, <family name>",s,
30,年,nián,"year, <family name>",t,
30,今年,nián, jīnnián this year,s,
30,今年,nián,今年 jīnnián this year,t,
30,明年,nián, míngnián next year,s,
30,明年,nián,明年 míngnián next year,t,
30,去年,nián, qùnián last year,s,
30,去年,nián,去年 qùnián last year,t,
30,中年,nián, zhōngnián middle age,s,
30,中年,nián,中年 zhōngnián middle age,t,
31,得,de,<adverbial particle: verb + 得 + descripion>,s,
31,得,de,<adverbial particle: verb + 得 + descripion>,t,
31,走得快,de, zǒude kuài walk quickly,s,
31,走得快,de,走得快 zǒude kuài walk quickly,t,
31,得,dé,"get, reach, achieve",s,
31,得,dé,"get, reach, achieve",t,
31,得,děi,should,s,
31,得,děi,should,t,
32,就,jiù,"just, simply, right away",s,
32,就,jiù,"just, simply, right away",t,
32,就要,jiù, jiùyào about to (do something),s,
32,就要,jiù,就要 jiùyào about to (do something),t,
32,这就是我,jiù,! Zhè jiùshì wǒ! This is simply me!,s,
32,这就是我,jiù,这就是我! Zhè jiùshì wǒ! This is simply me!,t,
32,他就要去,jiù,. Tā jiùyàoqù. He is about to leave.,s,
32,他就要去,jiù,他就要去. Tā jiùyàoqù. He is about to leave.,t,
33,那,nà,that,s,
33,那,nà,that,t,
33,那,nèi,that (before classifier),s,
33,那,nèi,that (before classifier),t,
33,禅那,nuó, chánnuó deep meditation,s,
33,禅那,nuó,禅那 chánnuó deep meditation,t,
33,无那,nuò," wúnuò helpless, unfortunately",s,
33,无那,nuò,"无那 wúnuò helpless, unfortunately",t,
33,那,nǎ,(=哪 nǎ) what?,s,
33,那,nǎ,(=哪 nǎ) what?,t,
33,那,něi,(=哪 něi before classifier) which?,s,
33,那,něi,(=哪 něi before classifier) which?,t,
34,要,yào,"want, will, shall, need, important, essential",s,
34,要,yào,"want, will, shall, need, important, essential",t,
34,主要,yào," zhǔyào main, fundamental",s,
34,主要,yào,"主要 zhǔyào main, fundamental",t,
34,要求,yāo, yāoqiú demand,s,
34,要求,yāo,要求 yāoqiú demand,t,
35,下,xià,"below, under, (go) down, next (as opposed to previous/last){Compare with 上 shàng above}",s,
35,下,xià,"below, under, (go) down, next (as opposed to previous/last){Compare with 上 shàng above}",t,
36,以,yǐ,"use, take, according to, because of, in order to",s,
36,以,yǐ,"use, take, according to, because of, in order to",t,
36,可以,yǐ," kěyǐ OK, may",s,
36,可以,yǐ,"可以 kěyǐ OK, may",t,
36,所以,yǐ," suǒyǐ so, therefore, as a result",s,
36,所以,yǐ,"所以 suǒyǐ so, therefore, as a result",t,
36,以外,yǐ," yǐwài beyond,except",s,
36,以外,yǐ,"以外 yǐwài beyond,except",t,
37,生,shēng,"give birth, life",s,
37,生,shēng,"give birth, life",t,
37,先生,shēng," xiānsheng mister, gentleman, Sir",s,
37,先生,shēng,"先生 xiānsheng mister, gentleman, Sir",t,
38,会,huì,"can, able, meet, meeting, society, union, party",s,
38,會,huì,"can, able, meet, meeting, society, union, party",t,
38,会计,kuài, kuàijì accounting,s,
38,会计,kuài,会计 kuàijì accounting,t,
38,会儿,huǐ, huìr moment,s,
38,会儿,huǐ,会儿 huìr moment,t,
39,自,zì,"from, since, (=自己 zìjǐ) self",s,
39,自,zì,"from, since, (=自己 zìjǐ) self",t,
39,自然 zìrán nature{Compare with 目 mù eye and 白,zì, bái white},s,
39,自然 zìrán nature{Compare with 目 mù eye and 白,zì,自然 zìrán nature{Compare with 目 mù eye and 白 bái white},t,
40,着,zhe,<verb particle marking a continuing progress/state>,s,
40,著,zhe,<verb particle marking a continuing progress/state>,t,
40,着,zháo,touch,s,
40,著,zháo,touch,t,
40,着,zhuó,"wear clothes, dress, touch",s,
40,著,zhuó,"wear clothes, dress, touch",t,
40,招,zhāo,make move in chess,t,
40,着,zhāo,"put in, add, (F 招) make move in chess, trick, decieve",s,
40,著,zhāo,"put in, add, trick, decieve",t,
41,去,qù,"go, leave, depart (opposite of 来 lái)",s,
41,去,qù,"go, leave, depart (opposite of 来 lái)",t,
42,之,zhī,"<subordinator similar to 的 de>, it (in classical texts)",s,
42,之,zhī,"<subordinator similar to 的 de>, it (in classical texts)",t,
43,过,guò,"pass, cross, go by, exceed, <verb particle marking that someone has had the experience of doing something, that it hashappened at least once>",s,
43,過,guò,"pass, cross, go by, exceed, <verb particle marking that someone has had the experience of doing something, that it hashappened at least once>",t,
43,过马路,guò, guò mǎlù cross the street,s,
43,过马路,guò,过马路 guò mǎlù cross the street,t,
43,我去过中国两次,guò,. wǒ qùguo Zhōngguó liǎng cì. I have gone to China twice.,s,
43,我去过中国两次,guò,我去过中国两次. wǒ qùguo Zhōngguó liǎng cì. I have gone to China twice.,t,
44,家,jiā,"home, house, family",s,
44,家,jiā,"home, house, family",t,
44,国家,jiā, guójiā nation,s,
44,国家,jiā,国家 guójiā nation,t,
44,大家,jiā, dàjiā everybody,s,
44,大家,jiā,大家 dàjiā everybody,t,
44,整天家,jie, zhěngtiānjie all day long,s,
44,整天家,jie,整天家 zhěngtiānjie all day long,t,
44,家里,jie," jiālǐ (at) home, (in the) family",s,
44,家里,jie,"家里 jiālǐ (at) home, (in the) family",t,
45,学,xué,"study, learn",s,
45,學,xué,"study, learn",t,
45,学校,xué, xuéxiào school,s,
45,学校,xué,学校 xuéxiào school,t,
45,学生 xuésheng student{Compare with 字,xué, zì written character},s,
45,学生 xuésheng student{Compare with 字,xué,学生 xuésheng student{Compare with 字 zì written character},t,
46,对,duì,"correct, answer, treat, agree, mutual, pair",s,
46,對,duì,"correct, answer, treat, agree, mutual, pair",t,
46,对不起,duì, duìbuqǐ excuse me,s,
46,对不起,duì,对不起 duìbuqǐ excuse me,t,
47,可,kě,"~able, (=可以 kěyǐ) may, can, (=可是 kěshì) but, however",s,
47,可,kě,"~able, (=可以 kěyǐ) may, can, (=可是 kěshì) but, however",t,
47,可爱,kě," kě'ài loveable, cute",s,
47,可爱,kě,"可爱 kě'ài loveable, cute",t,
47,可能,kě," kě'néng possible, probable, maybe",s,
47,可能,kě,"可能 kě'néng possible, probable, maybe",t,
47,可口可乐,kě, kěkǒukělè Coca Cola,s,
47,可口可乐,kě,可口可乐 kěkǒukělè Coca Cola,t,
47,可汗,kè, kèhán khan,s,
47,可汗,kè,可汗 kèhán khan,t,
48,她,tā,"she, her",s,
48,她,tā,"she, her",t,
49,裏,lǐ,in,t,裡
49,里,lǐ,"neighbourhood, half kilometer, <family name>, (F 裏,裡) in, inside, lining",s,
49,里,lǐ,"neighbourhood, half kilometer, <family name>, inside, lining",t,
49,哪里,lǐ,? nǎli? where?,s,
49,哪里,lǐ,哪里? nǎli? where?,t,
49,那里,lǐ, nàli there,s,
49,那里,lǐ,那里 nàli there,t,
49,这里,lǐ, zhèli here,s,
49,这里,lǐ,这里 zhèli here,t,
50,後,hòu,after,t,
50,后,hòu,"queen, (F 後) after, behind, <family name>",s,
50,后,hòu,"queen, behind, <family name>",t,
50,后天,hòu, hòutiān the day after tomorrow,s,
50,后天,hòu,后天 hòutiān the day after tomorrow,t,
51,小,xiǎo,small,s,
51,小,xiǎo,small,t,
51,大小,xiǎo, dàxiǎo size,s,
51,大小,xiǎo,大小 dàxiǎo size,t,
52,麼,me/mo,(interrogative suffix,t,末
52,么,me/mo,"(F 麼,末) (interrogative suffix) 什么? shénme? what?",s,
52,么,me/mo,"(F 麼,末) (interrogative suffix) 什么? shénme? what?",t,
52,为什么? wèishénme? why? 没什么,me/mo,"! méi shénme! It doesn't matter!, Never mind!",s,
52,为什么? wèishénme? why? 没什么,me/mo,"为什么? wèishénme? why? 没什么! méi shénme! It doesn't matter!, Never mind!",t,
52,怎么,me/mo,? zěnme? how?,s,
52,怎么,me/mo,怎么? zěnme? how?,t,
52,么,yāo,"(S 幺) youngest, one (e.g. in bus/house/phone numbers)",s,
52,么,yāo,"(S 幺) youngest, one (e.g. in bus/house/phone numbers)",t,
53,心,xīn,heart,s,
53,心,xīn,heart,t,
53,小心,xīn, xiǎoxīn be careful,s,
53,小心,xīn,小心 xiǎoxīn be careful,t,
53,心理,xīn," xīnlǐ psychology, mentality",s,
53,心理,xīn,"心理 xīnlǐ psychology, mentality",t,
53,中心,xīn, zhōngxīn center,s,
53,中心,xīn,中心 zhōngxīn center,t,
54,多,duō,"many, much, more",s,
54,多,duō,"many, much, more",t,
54,多大,duō, duōdà how large?,s,
54,多大,duō,多大 duōdà how large?,t,
54,多少,duō, duōshǎo how many/much?,s,
54,多少,duō,多少 duōshǎo how many/much?,t,
55,天,tiān,"sky, heaven, god, day, (=天空 tiānkōng) sky",s,
55,天,tiān,"sky, heaven, god, day, (=天空 tiānkōng) sky",t,
55,天气 tiānqì weather{天干 tiāngān the Ten Heavenly Stems: 甲乙丙丁戊己庚辛壬癸 jiǎ-yǐ-bǐng-dīng-wù-jǐ-gēng-xīn-rén-guǐ (these characters aresometimes used as ordinal numbers}{Compare with 夫 fū man and 无,tiān, wú without},s,
55,天气 tiānqì weather{天干 tiāngān the Ten Heavenly Stems: 甲乙丙丁戊己庚辛壬癸 jiǎ-yǐ-bǐng-dīng-wù-jǐ-gēng-xīn-rén-guǐ (these characters aresometimes used as ordinal numbers}{Compare with 夫 fū man and 无,tiān,天气 tiānqì weather{天干 tiāngān the Ten Heavenly Stems: 甲乙丙丁戊己庚辛壬癸 jiǎ-yǐ-bǐng-dīng-wù-jǐ-gēng-xīn-rén-guǐ (these characters aresometimes used as ordinal numbers}{Compare with 夫 fū man and 无 wú without},t,
56,而,ér,"(=而且 érqiě) and, furthermore, (=然而 rán'ér) yet, even so",s,
56,而,ér,"(=而且 érqiě) and, furthermore, (=然而 rán'ér) yet, even so",t,
57,能,néng,"can, be able",s,
57,能,néng,"can, be able",t,
57,能够,néng, nénggòu be capable of,s,
57,能够,néng,能够 nénggòu be capable of,t,
57,可能,néng, kě'néng maybe,s,
57,可能,néng,可能 kě'néng maybe,t,
58,好,hǎo,"good, good to..., easy to...",s,
58,好,hǎo,"good, good to..., easy to...",t,
58,你好,hǎo,! Nǐhǎo! Hello!,s,
58,你好,hǎo,你好! Nǐhǎo! Hello!,t,
58,好,hào,to like,s,
58,好,hào,to like,t,
58,好好儿,hāo, hǎohāor in perfectly good condition,s,
58,好好儿,hāo,好好儿 hǎohāor in perfectly good condition,t,
59,都,dōu,all,s,
59,都,dōu,all,t,
59,首都,dū, shǒudū) capital city,s,
59,首都,dū,(=首都 shǒudū) capital city,t,
60,然,rán,"right, correct, so, like that",s,
60,然,rán,"right, correct, so, like that",t,
60,虽然,rán, suīrán although,s,
60,虽然,rán,虽然 suīrán although,t,
60,忽然,rán, hūrán suddenly,s,
60,忽然,rán,忽然 hūrán suddenly,t,
60,当然,rán, dāngrán of course,s,
60,当然,rán,当然 dāngrán of course,t,
60,自然,rán, zìrán nature,s,
60,自然,rán,自然 zìrán nature,t,
61,没,méi,"(=没有 méiyǒu) haven't, there isn't",s,
61,沒,méi,"(=没有 méiyǒu) haven't, there isn't",t,
61,有没有,méi,? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?,s,
61,有没有,méi,有没有? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?,t,
61,没,mò,"sink, overflow, disappear, confiscate",s,
61,沒,mò,"sink, overflow, disappear, confiscate",t,
62,日,rì,"sun, (=日子 rìzi) day",s,
62,日,rì,"sun, (=日子 rìzi) day",t,
62,日记,rì, rìjì diary,s,
62,日记,rì,日记 rìjì diary,t,
62,"日光 rìguāng sunlight{Compare with 曰 yuē say, 目 mù eye and 甘",rì, gān sweet},s,
62,"日光 rìguāng sunlight{Compare with 曰 yuē say, 目 mù eye and 甘",rì,"日光 rìguāng sunlight{Compare with 曰 yuē say, 目 mù eye and 甘 gān sweet}",t,
63,於,yú,in,t,
63,于,yú,"<family name>, (F 於) in, at, for, to, from, by, than{Compare with 千 qiān thousand and 干 gān stem}",s,
63,于,yú,"<family name>, at, for, to, from, by, than{Compare with 千 qiān thousand and 干 gān stem}",t,
64,起,qǐ,"rise, start",s,
64,起,qǐ,"rise, start",t,
64,起来,qǐ, qǐlai get up,s,
64,起来,qǐ,起来 qǐlai get up,t,
64,对不起,qǐ, duìbuqǐ excuse me,s,
64,对不起,qǐ,对不起 duìbuqǐ excuse me,t,
64,起,qi,(when used as a verb complement),s,
64,起,qi,(when used as a verb complement),t,
65,还,hái,"still, yet",s,
65,還,hái,"still, yet",t,
65,还,huán,"return, give back",s,
65,還,huán,"return, give back",t,
66,發,fā,deliver,t,
66,发,fā,"(F 發) deliver, utter, express, shoot, emit, develop, expand",s,
66,发,fā,"(F 發) deliver, utter, express, shoot, emit, develop, expand",t,
66,髮,fà,hair,t,
66,发,fà,(F 髮) hair,s,
66,发,fà,(F 髮) hair,t,
66,髮,fa,头发 tóufa hair,t,
66,髮) 头发,fa, tóufa hair,s,
66,髮) 头发,fa,(F 髮) 头发 tóufa hair,t,
67,成,chéng,"(=成为 chéngwéi, =变成 biànchéng) become, <family name>",s,
67,成,chéng,"(=成为 chéngwéi, =变成 biànchéng) become, <family name>",t,
67,成功,chéng, chénggōng succeed,s,
67,成功,chéng,成功 chénggōng succeed,t,
67,完成,chéng," wánchéng accomplish, complete, fulfill",s,
67,完成,chéng,"完成 wánchéng accomplish, complete, fulfill",t,
67,成语,chéng, chéngyǔ idiom,s,
67,成语,chéng,成语 chéngyǔ idiom,t,
68,事,shì,"matter, affair, thing, event, accident, job, responsibility",s,
68,事,shì,"matter, affair, thing, event, accident, job, responsibility",t,
68,事情,shì, shìqing situation,s,
68,事情,shì,事情 shìqing situation,t,
69,只,zhǐ,"only, just, merely, <classifier implying ""one of a pair"", animals, vessels, utensils, etc.>",s,
69,祇,zhǐ,"only, just, merely, <classifier implying ""one of a pair"", animals, vessels, utensils, etc.>",t,
69,一只猫,zhǐ, yì zhǐ māo a cat,s,
69,一只猫,zhǐ,一只猫 yì zhǐ māo a cat,t,
69,隻,zhī,single,t,
69,"隻) single, one, only{Compare with 兄",zhī, xiōng brother},s,
69,"隻) single, one, only{Compare with 兄",zhī,"(F 隻) single, one, only{Compare with 兄 xiōng brother}",t,
70,作,zuò,"do, make",s,
70,作,zuò,"do, make",t,
70,工作,zuò, gōngzuò work,s,
70,工作,zuò,工作 gōngzuò work,t,
70,作业,zuò, zuòyè homework,s,
70,作业,zuò,作业 zuòyè homework,t,
70,作践,zuó," zuójian spoil, waste, humiliate, insult",s,
70,作践,zuó,"作践 zuójian spoil, waste, humiliate, insult",t,
70,作,zuō,do,s,
70,作,zuō,do,t,
71,當,dāng,serve as,t,
71,噹,dāng,ding-dong,t,
71,当,dāng,"(F 當) serve as, (F 噹) ding-dong",s,
71,当,dāng,(F 當) serve as,t,
71,當,dàng,proper,t,
71,"當) proper, right, equal, (=当作",dàng," dàngzuò) treat as, regard as",s,
71,"當) proper, right, equal, (=当作",dàng,"(F 當) proper, right, equal, (=当作 dàngzuò) treat as, regard as",t,
72,想,xiǎng,"think, feel, consider, want, remember",s,
