,cat,word/character,pronunciation,definition,code,alt
63,5,瞭,liào,"to survey/watch{Compare with 子, zǐ child}",t,
64,6,人,rén,person,s,
65,6,人,rén,person,t,
66,6,人类,rén, rénlèi humankind,s,
67,6,人類,rén,人類 rénlèi humankind,t,
68,6,有人吗?,rén,yǒu rén ma? Is there anybody here?,s,
69,6,有人嗎?,rén,yǒu rén ma? Is there anybody here?,t,
70,7,我,wǒ,"I, me, my",s,
71,7,我,wǒ,"I, me, my",t,
72,7,我们,wǒ,"wǒmen we, us{Compare with 找 zhǎo seek}",s,
73,7,我們,wǒ,"wǒmen we, us{Compare with 找 zhǎo seek}",t,
74,8,在,zài,at,s,
75,8,在,zài,at,t,
76,8,现在,zài, xiànzài now,s,
77,8,現在,zài,現在 xiànzài now,t,
78,8,存在,zài, cúnzài exist,s,
79,8,存在,zài,存在 cúnzài exist,t,
80,9,有,yǒu,"have, there is",s,
81,9,有,yǒu,"have, there is",t,
82,9,没有,yǒu," méiyǒu haven't, there isn't",s,
83,9,沒有,yǒu,"沒有 méiyǒu haven't, there isn't",t,
84,9,有没有,yǒu,? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?,s,
85,9,有沒有,yǒu,有沒有? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?,t,
86,9,有的,yǒu, yǒude some,s,
87,9,有的,yǒu,有的 yǒude some,t,
88,9,有,yòu,"(Equivalent:  又 yòu) again, both... and...",s,
89,9,有,yòu,"(Equivalent:  又 yòu) again, both... and...",t,
90,10,他,tā,"he, him, his, (she, her, it, its), (Equivalent:  其他 qítā) other",s,
91,10,他,tā,"he, him, his, (she, her, it, its), (Equivalent:  其他 qítā) other",t,
92,10,他,tuō,"(in classical texts) someone else, something else",s,
93,10,他,tuō,"(in classical texts) someone else, something else",t,
94,11,这,zhè,this,s,
95,11,這,zhè,this,t,
96,11,这儿,zhè, zhèr here,s,
97,11,這兒,zhè,這兒 zhèr here,t,
98,11,这,zhèi,this (before classifier),s,
99,11,這,zhèi,this (before classifier),t,
100,12,中,zhōng,"middle, in",s,
101,12,中,zhōng,"middle, in",t,
102,12,中国,zhōng, Zhōngguó China,s,
103,12,中國,zhōng,中國 Zhōngguó China,t,
104,12,中,zhòng,hit (a target),s,
105,12,中,zhòng,hit (a target),t,
106,13,大,dà,big,s,
107,13,大,dà,big,t,
108,13,多大,dà,? duōdà? how large?,s,
109,13,多大,dà,多大? duōdà? how large?,t,
110,13,大小,dà, dàxiǎo size,s,
111,13,大小,dà,大小 dàxiǎo size,t,
112,13,大家,dà, dàjiā everybody,s,
113,13,大家,dà,大家 dàjiā everybody,t,
114,13,大夫,dài,dàifu doctor{Compare with 太 tài very and 木 mù tree},s,
115,13,大夫,dài,dàifu doctor{Compare with 太 tài very and 木 mù tree},t,
116,14,来,lái,come,s,
117,14,來,lái,come,t,
118,14,原来,lái," yuánlái originally, as a matter of fact",s,
119,14,原來,lái,"原來 yuánlái originally, as a matter of fact",t,
120,14,来年,lái, láinián coming/next year(s),s,
121,14,來年,lái,來年 láinián coming/next year(s),t,
122,14,来,lai,(when used as a verb complement),s,
123,14,來,lai,(when used as a verb complement),t,
124,14,起来,lai, qǐlai get up,s,
125,14,起來,lai,起來 qǐlai get up,t,
126,15,上,shàng,"above, on, over, top, (go) up, last, previous",s,
127,15,上,shàng,"above, on, over, top, (go) up, last, previous",t,
128,15,上声,shǎng, shǎngshēng 3rd tone in Mandarin,s,
129,15,上聲,shǎng,上聲 shǎngshēng 3rd tone in Mandarin,t,
130,15,上,shang,(when used as a verb complement){Compare with 下 xià under},s,
131,15,上,shang,(when used as a verb complement){Compare with 下 xià under},t,
132,16,国,guó,"(Equivalent:  国家 guójiā) country, state, nation, <family name>",s,
133,16,國,guó,"(Equivalent:  國家 guójiā) country, state, nation, <family name>",t,
134,16,中国,guó, Zhōngguó China,s,
135,16,中國,guó,中國 Zhōngguó China,t,
136,16,美国,guó, Měiguó USA,s,
137,16,美國,guó,美國 Měiguó USA,t,
138,17,个,gè,<general and non-specific classifier>,s,
139,17,個,gè,<general and non-specific classifier>,t,箇
140,17,个人,gè, gèrén personal,s,
141,17,個人,gè,個人 gèrén personal,t,
142,17,个人主页,gè, gèrénzhùyè personal homepage,s,
143,17,個人主頁,gè,個人主頁 gèrénzhùyè personal homepage,t,
144,17,自个,gě, zìgě oneself,s,
145,17,自個,gě,自個 zìgě oneself,t,
146,18,到,dào,"to, towards, until, arrive, reach",s,
147,18,到,dào,"to, towards, until, arrive, reach",t,
148,19,说,shuō,"explain, scold, refer to, (Equivalent:  说话 shuōhuà) speak, say",s,
149,19,說,shuō,"explain, scold, refer to, (Equivalent:  說話 shuōhuà) speak, say",t,
150,19,游说,shuō, yóushuō persuade,s,
151,19,游說,shuō,游說 yóushuō persuade,t,
152,19,说,shuì,try to persuade,s,
153,19,說,shuì,try to persuade,t,
154,19,游说,shuì, yóushuì lobbying,s,
155,19,游說,shuì,游說 yóushuì lobbying,t,
156,20,们,men,(pluralizing suffix for pronouns and human nouns),s,
157,20,們,men,(pluralizing suffix for pronouns and human nouns),t,
158,20,我们,men, wǒmen we,s,
159,20,我們,men,我們 wǒmen we,t,
160,20,人们,men, rénmen people,s,
161,20,人們,men,人們 rénmen people,t,
162,21,为,wèi,"for, for the sake of, in order to, in this connection",s,
163,21,為,wèi,"for, for the sake of, in order to, in this connection",t,
164,21,为,wéi,"do, act, act as, be, become",s,
165,21,為,wéi,"do, act, act as, be, become",t,
166,21,认为,wéi, rènwéi think or believe that...,s,
167,21,認為,wéi,認為 rènwéi think or believe that...,t,
168,21,以为,wéi,yǐwéi think or believe erroneously that...,s,
169,21,以為,wéi,yǐwéi think or believe erroneously that...,t,
170,22,子,zǐ,"child, son",s,
171,22,子,zǐ,"child, son",t,
172,22,子女,zǐ, zǐnǚ sons and daughters,s,
173,22,子女,zǐ,子女 zǐnǚ sons and daughters,t,
174,22,儿子,zǐ, érzi son,s,
175,22,兒子,zǐ,兒子 érzi son,t,
176,22,子,zi,(noun suffix),s,
177,22,子,zi,(noun suffix),t,
178,22,桌子,zi,zhuōzi table,s,
179,22,桌子,zi,zhuōzi table,t,
180,23,龢,hé,harmony,t,
181,23,和,hé,"together, with, (Traditional: 龢) harmony, gentle, mild, kind, <family name>",s,
182,23,龢,hé,"together, with, gentle, mild, kind, <family name>",t,
183,23,和平,hé, hépíng peace,s,
184,23,龢平,hé,龢平 hépíng peace,t,
185,23,和,Hé,Japan,s,
186,23,龢,Hé,Japan,t,
187,23,暖和,huo, nuǎnhuo nice and warm,s,
188,23,暖龢,huo,暖龢 nuǎnhuo nice and warm,t,
189,23,和,hè,"join in singing, compose a poem in reply",s,
190,23,龢,hè,"join in singing, compose a poem in reply",t,
191,23,和,huó,mix with water,s,
192,23,龢,huó,mix with water,t,
193,23,和,huò,"mix, blend",s,
194,23,龢,huò,"mix, blend",t,
195,23,和,hú,complete a set in Mahjong,s,
196,23,龢,hú,complete a set in Mahjong,t,
197,24,你,nǐ,"(Alternative feminine form: 妳 nǐ) you, your",s,
198,24,你,nǐ,"(Alternative feminine form: 妳 nǐ) you, your",t,
199,24,你们,nǐ, nǐmen you (plural),s,
200,24,你們,nǐ,你們 nǐmen you (plural),t,
201,25,地,dì,"earth, ground, soil, place, position, distance",s,
202,25,地,dì,"earth, ground, soil, place, position, distance",t,
203,25,地支,dì, dìzhī the Twelve Terrestrial Branches,s,
204,25,地支,dì,地支 dìzhī the Twelve Terrestrial Branches,t,
205,25,地,de,"<adverbial particle: descripion + 地 + verb>, ~ly",s,
206,25,地,de,"<adverbial particle: descripion + 地 + verb>, ~ly",t,
207,25,快地走,de, kuàide zǒu walk quickly,s,
208,25,快地走,de,快地走 kuàide zǒu walk quickly,t,
209,26,出,chū,"go out, come out, in direction out from something, emit, issue, prouce",s,
210,26,齣,chū,"go out, come out, in direction out from something, emit, issue, prouce",t,
211,26,齣,chū,<classifier for operas and plays>,t,
212,26,出现,chū," chūxiàn appear, emerge, (Traditional: 出) <classifier for operas and plays>",s,
213,26,齣現,chū,"齣現 chūxiàn appear, emerge",t,
214,27,道,dào,"way, path, channel, way, say, a streak (of light), doctrine, <classifier for rivers, topics, etc.>, (Equivalent:  道教 Dàojiào) Taoism",s,
215,27,道,dào,"way, path, channel, way, say, a streak (of light), doctrine, <classifier for rivers, topics, etc.>, (Equivalent:  道教 Dàojiào) Taoism",t,
216,27,知道,dào,zhīdao know,s,
217,27,知道,dào,知道zhīdao know,t,
218,27,道,dǎo,(Equivalent:  导 dǎo) lead,s,
219,27,道,dǎo,(Equivalent:  導 dǎo) lead,t,
220,27,领道/领导,dǎo, lǐngdǎo leader,s,
221,27,領道/領導,dǎo, lǐngdǎo leader,t,
222,28,也,yě,"also, as well",s,
223,28,也,yě,"also, as well",t,
224,28,也许,yě, yěxǔ perhaps,s,
225,28,也許,yě,也許 yěxǔ perhaps,t,
226,29,时,shí,"period, season, (Equivalent:  时间 shíjiān, =时候 shíhou) time, (Equivalent:  小时 xiǎoshí) hour",s,
227,29,時,shí,"period, season, (Equivalent:  時間 shíjiān, =時候 shíhou) time, (Equivalent:  小時 xiǎoshí) hour",t,
228,30,年,nián,"year, <family name>",s,
229,30,年,nián,"year, <family name>",t,
230,30,今年,nián, jīnnián this year,s,
231,30,今年,nián,今年 jīnnián this year,t,
232,30,明年,nián, míngnián next year,s,
233,30,明年,nián,明年 míngnián next year,t,
234,30,去年,nián, qùnián last year,s,
235,30,去年,nián,去年 qùnián last year,t,
236,30,中年,nián, zhōngnián middle age,s,
237,30,中年,nián,中年 zhōngnián middle age,t,
238,31,得,de,<adverbial particle: verb + 得 + descripion>,s,
239,31,得,de,<adverbial particle: verb + 得 + descripion>,t,
240,31,走得快,de, zǒude kuài walk quickly,s,
241,31,走得快,de,走得快 zǒude kuài walk quickly,t,
242,31,得,dé,"get, reach, achieve",s,
243,31,得,dé,"get, reach, achieve",t,
244,31,得,děi,should,s,
245,31,得,děi,should,t,
246,32,就,jiù,"just, simply, right away",s,
247,32,就,jiù,"just, simply, right away",t,
248,32,就要,jiù, jiùyào about to (do something),s,
249,32,就要,jiù,就要 jiùyào about to (do something),t,
250,32,这就是我,jiù,! Zhè jiùshì wǒ! This is simply me!,s,
251,32,這就是我,jiù,這就是我! Zhè jiùshì wǒ! This is simply me!,t,
252,32,他就要去,jiù,. Tā jiùyàoqù. He is about to leave.,s,
253,32,他就要去,jiù,他就要去. Tā jiùyàoqù. He is about to leave.,t,
254,33,那,nà,that,s,
255,33,那,nà,that,t,
256,33,那,nèi,that (before classifier),s,
257,33,那,nèi,that (before classifier),t,
258,33,禅那,nuó, chánnuó deep meditation,s,
259,33,禪那,nuó,禪那 chánnuó deep meditation,t,
260,33,无那,nuò," wúnuò helpless, unfortunately",s,
261,33,無那,nuò,"無那 wúnuò helpless, unfortunately",t,
262,33,那,nǎ,(Equivalent:  哪 nǎ) what?,s,
263,33,那,nǎ,(Equivalent:  哪 nǎ) what?,t,
264,33,那,něi,(Equivalent:  哪 něi before classifier) which?,s,
265,33,那,něi,(Equivalent:  哪 něi before classifier) which?,t,
266,34,要,yào,"want, will, shall, need, important, essential",s,
267,34,要,yào,"want, will, shall, need, important, essential",t,
268,34,主要,yào," zhǔyào main, fundamental",s,
269,34,主要,yào,"主要 zhǔyào main, fundamental",t,
270,34,要求,yāo, yāoqiú demand,s,
271,34,要求,yāo,要求 yāoqiú demand,t,
272,35,下,xià,"below, under, (go) down, next (as opposed to previous/last){Compare with 上 shàng above}",s,
273,35,下,xià,"below, under, (go) down, next (as opposed to previous/last){Compare with 上 shàng above}",t,
274,36,以,yǐ,"use, take, according to, because of, in order to",s,
275,36,以,yǐ,"use, take, according to, because of, in order to",t,
276,36,可以,yǐ," kěyǐ OK, may",s,
277,36,可以,yǐ,"可以 kěyǐ OK, may",t,
278,36,所以,yǐ," suǒyǐ so, therefore, as a result",s,
279,36,所以,yǐ,"所以 suǒyǐ so, therefore, as a result",t,
280,36,以外,yǐ," yǐwài beyond,except",s,
281,36,以外,yǐ,"以外 yǐwài beyond,except",t,
282,37,生,shēng,"give birth, life",s,
283,37,生,shēng,"give birth, life",t,
284,37,先生,shēng," xiānsheng mister, gentleman, Sir",s,
285,37,先生,shēng,"先生 xiānsheng mister, gentleman, Sir",t,
286,38,会,huì,"can, able, meet, meeting, society, union, party",s,
287,38,會,huì,"can, able, meet, meeting, society, union, party",t,
288,38,会计,kuài, kuàijì accounting,s,
289,38,會計,kuài,會計 kuàijì accounting,t,
290,38,会儿,huǐ, huìr moment,s,
291,38,會兒,huǐ,會兒 huìr moment,t,
292,39,自,zì,"from, since, (Equivalent:  自己 zìjǐ) self",s,
293,39,自,zì,"from, since, (Equivalent:  自己 zìjǐ) self",t,
294,39,自然,zì,zìrán nature,s,
295,39,自然,zì,zìrán nature,t,
296,40,着,zhe,<verb particle marking a continuing progress/state>,s,
297,40,著,zhe,<verb particle marking a continuing progress/state>,t,
298,40,着,zháo,touch,s,
299,40,著,zháo,touch,t,
300,40,着,zhuó,"wear clothes, dress, touch",s,
301,40,著,zhuó,"wear clothes, dress, touch",t,
302,40,招,zhāo,make move in chess,t,
303,40,着,zhāo,"put in, add, (Traditional: 招) make move in chess, trick, decieve",s,
304,40,著,zhāo,"put in, add, trick, decieve",t,
305,41,去,qù,"go, leave, depart (opposite of 来 lái)",s,
306,41,去,qù,"go, leave, depart (opposite of 來 lái)",t,
307,42,之,zhī,"<subordinator similar to 的 de>, it (in classical texts)",s,
308,42,之,zhī,"<subordinator similar to 的 de>, it (in classical texts)",t,
309,43,过,guò,"pass, cross, go by, exceed, <verb particle marking that someone has had the experience of doing something, that it hashappened at least once>",s,
310,43,過,guò,"pass, cross, go by, exceed, <verb particle marking that someone has had the experience of doing something, that it hashappened at least once>",t,
311,43,过马路,guò, guò mǎlù cross the street,s,
312,43,過馬路,guò,過馬路 guò mǎlù cross the street,t,
313,43,我去过中国两次,guò,. wǒ qùguo Zhōngguó liǎng cì. I have gone to China twice.,s,
314,43,我去過中國兩次,guò,我去過中國兩次. wǒ qùguo Zhōngguó liǎng cì. I have gone to China twice.,t,
315,44,家,jiā,"home, house, family",s,
316,44,家,jiā,"home, house, family",t,
317,44,国家,jiā, guójiā nation,s,
318,44,國家,jiā,國家 guójiā nation,t,
319,44,大家,jiā, dàjiā everybody,s,
320,44,大家,jiā,大家 dàjiā everybody,t,
321,44,整天家,jie, zhěngtiānjie all day long,s,
322,44,整天家,jie,整天家 zhěngtiānjie all day long,t,
323,44,家里,jie," jiālǐ (at) home, (in the) family",s,
324,44,家裏,jie,"家裏 jiālǐ (at) home, (in the) family",t,
325,45,学,xué,"study, learn",s,
326,45,學,xué,"study, learn",t,
327,45,学校,xué, xuéxiào school,s,
328,45,學校,xué,學校 xuéxiào school,t,
329,45,学生,xué,xuésheng student,s,
330,45,學生,xué,xuésheng student,t,
331,46,对,duì,"correct, answer, treat, agree, mutual, pair",s,
332,46,對,duì,"correct, answer, treat, agree, mutual, pair",t,
333,46,对不起,duì, duìbuqǐ excuse me,s,
334,46,對不起,duì,對不起 duìbuqǐ excuse me,t,
335,47,可,kě,"~able, (Equivalent:  可以 kěyǐ) may, can, (Equivalent:  可是 kěshì) but, however",s,
336,47,可,kě,"~able, (Equivalent:  可以 kěyǐ) may, can, (Equivalent:  可是 kěshì) but, however",t,
337,47,可爱,kě," kě'ài loveable, cute",s,
338,47,可愛,kě,"可愛 kě'ài loveable, cute",t,
339,47,可能,kě," kě'néng possible, probable, maybe",s,
340,47,可能,kě,"可能 kě'néng possible, probable, maybe",t,
341,47,可口可乐,kě, kěkǒukělè Coca Cola,s,
342,47,可口可樂,kě,可口可樂 kěkǒukělè Coca Cola,t,
343,47,可汗,kè, kèhán khan,s,
344,47,可汗,kè,可汗 kèhán khan,t,
345,48,她,tā,"she, her",s,
346,48,她,tā,"she, her",t,
347,49,裏,lǐ,in,t,裡
348,49,里,lǐ,"neighbourhood, half kilometer, <family name>, (Traditional: 里,裡) in, inside, lining",s,
349,49,里,lǐ,"neighbourhood, half kilometer, <family name>, inside, lining",t,
350,49,哪里,lǐ,? nǎli? where?,s,
351,49,哪裏,lǐ,哪裏? nǎli? where?,t,
352,49,那里,lǐ, nàli there,s,
353,49,那裏,lǐ,那裏 nàli there,t,
354,49,这里,lǐ, zhèli here,s,
355,49,這裏,lǐ,這裏 zhèli here,t,
356,50,後,hòu,after,t,
357,50,后,hòu,"queen, (Traditional: 后) after, behind, <family name>",s,
358,50,後,hòu,"queen, behind, <family name>",t,
359,50,后天,hòu, hòutiān the day after tomorrow,s,
360,50,後天,hòu,後天 hòutiān the day after tomorrow,t,
361,51,小,xiǎo,small,s,
362,51,小,xiǎo,small,t,
363,51,大小,xiǎo, dàxiǎo size,s,
364,51,大小,xiǎo,大小 dàxiǎo size,t,
365,52,麼,me/mo,(interrogative suffix,t,末
366,52,么,me/mo,"(Traditional: 麼,末) (interrogative suffix) 什么? shénme? what?",s,
367,52,麼,me/mo,"(Traditional: 麼,末) (interrogative suffix) 甚麼? shénme? what?",t,
368,52,为什么?,me/mo, wèishénme? why?,s,
369,52,為甚麼?,me/mo, wèishénme? why?,t,
370,52,怎么,me/mo,? zěnme? how?,s,
371,52,怎麼,me/mo,怎麼? zěnme? how?,t,
372,52,么,yāo,"youngest, one (e.g. in bus/house/phone numbers)",s,
373,52,麼,yāo,"(Simplified:  幺) youngest, one (e.g. in bus/house/phone numbers)",t,
374,53,心,xīn,heart,s,
375,53,心,xīn,heart,t,
376,53,小心,xīn, xiǎoxīn be careful,s,
377,53,小心,xīn,小心 xiǎoxīn be careful,t,
378,53,心理,xīn," xīnlǐ psychology, mentality",s,
379,53,心理,xīn,"心理 xīnlǐ psychology, mentality",t,
380,53,中心,xīn, zhōngxīn center,s,
381,53,中心,xīn,中心 zhōngxīn center,t,
382,54,多,duō,"many, much, more",s,
383,54,多,duō,"many, much, more",t,
384,54,多大,duō, duōdà how large?,s,
385,54,多大,duō,多大 duōdà how large?,t,
386,54,多少,duō, duōshǎo how many/much?,s,
387,54,多少,duō,多少 duōshǎo how many/much?,t,
388,55,天,tiān,"sky, heaven, god, day, (Equivalent:  天空 tiānkōng) sky",s,
389,55,天,tiān,"sky, heaven, god, day, (Equivalent:  天空 tiānkōng) sky",t,
390,55,天气,tiān, tiānqì weather{天干 tiāngān the Ten Heavenly Stems: 甲乙丙丁戊己庚辛壬癸 jiǎ-yǐ-bǐng-dīng-wù-jǐ-gēng-xīn-rén-guǐ (these characters aresometimes used as ordinal numbers}{Compare with 夫 fū man and 无,s,
391,55,天氣,tiān, tiānqì weather{天干 tiāngān the Ten Heavenly Stems: 甲乙丙丁戊己庚辛壬癸 jiǎ-yǐ-bǐng-dīng-wù-jǐ-gēng-xīn-rén-guǐ (these characters aresometimes used as ordinal numbers}{Compare with 夫 fū man and 無,t,
392,56,而,ér,"(Equivalent:  而且 érqiě) and, furthermore, (Equivalent:  然而 rán'ér) yet, even so",s,
393,56,而,ér,"(Equivalent:  而且 érqiě) and, furthermore, (Equivalent:  然而 rán'ér) yet, even so",t,
394,57,能,néng,"can, be able",s,
395,57,能,néng,"can, be able",t,
396,57,能够,néng, nénggòu be capable of,s,
397,57,能夠,néng,能夠 nénggòu be capable of,t,
398,57,可能,néng, kě'néng maybe,s,
399,57,可能,néng,可能 kě'néng maybe,t,
400,58,好,hǎo,"good, good to..., easy to...",s,
401,58,好,hǎo,"good, good to..., easy to...",t,
402,58,你好,hǎo,! Nǐhǎo! Hello!,s,
403,58,你好,hǎo,你好! Nǐhǎo! Hello!,t,
404,58,好,hào,to like,s,
405,58,好,hào,to like,t,
406,58,好好儿,hāo, hǎohāor in perfectly good condition,s,
407,58,好好兒,hāo,好好兒 hǎohāor in perfectly good condition,t,
408,59,都,dōu,all,s,
409,59,都,dōu,all,t,
410,59,首都,dū, shǒudū) capital city,s,
411,59,首都,dū,(Equivalent:  首都 shǒudū) capital city,t,
412,60,然,rán,"right, correct, so, like that",s,
413,60,然,rán,"right, correct, so, like that",t,
414,60,虽然,rán, suīrán although,s,
415,60,雖然,rán,雖然 suīrán although,t,
416,60,忽然,rán, hūrán suddenly,s,
417,60,忽然,rán,忽然 hūrán suddenly,t,
418,60,当然,rán, dāngrán of course,s,
419,60,當然,rán,當然 dāngrán of course,t,
420,60,自然,rán, zìrán nature,s,
421,60,自然,rán,自然 zìrán nature,t,
422,61,没,méi,"(Equivalent:  没有 méiyǒu) haven't, there isn't",s,
423,61,沒,méi,"(Equivalent:  沒有 méiyǒu) haven't, there isn't",t,
424,61,有没有,méi,? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?,s,
425,61,有沒有,méi,有沒有? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?,t,
426,61,没,mò,"sink, overflow, disappear, confiscate",s,
427,61,沒,mò,"sink, overflow, disappear, confiscate",t,
428,62,日,rì,"sun, (Equivalent:  日子 rìzi) day",s,
429,62,日,rì,"sun, (Equivalent:  日子 rìzi) day",t,
430,62,日记,rì, rìjì diary,s,
431,62,日記,rì,日記 rìjì diary,t,
432,62,日光,rì,rìguāng sunlight,s,
433,62,日光,rì,rìguāng sunlight,t,
434,63,於,yú,in,t,
435,63,于,yú,"<family name>, (Traditional: 於) in, at, for, to, from, by, than{Compare with 千 qiān thousand and 干 gān stem}",s,
436,63,于,yú,"<family name>, in, at, for, to, from, by, than{Compare with 千 qiān thousand and 干 gān stem}",t,
437,64,起,qǐ,"rise, start",s,
438,64,起,qǐ,"rise, start",t,
439,64,起来,qǐ, qǐlai get up,s,
440,64,起來,qǐ,起來 qǐlai get up,t,
441,64,对不起,qǐ, duìbuqǐ excuse me,s,
442,64,對不起,qǐ,對不起 duìbuqǐ excuse me,t,
443,64,起,qi,(when used as a verb complement),s,
444,64,起,qi,(when used as a verb complement),t,
445,65,还,hái,"still, yet",s,
446,65,還,hái,"still, yet",t,
447,65,还,huán,"return, give back",s,
448,65,還,huán,"return, give back",t,
449,66,發,fā,deliver,t,
450,66,发,fā,"(Traditional: 发) deliver, utter, express, shoot, emit, develop, expand",s,
451,66,發,fā,"deliver, utter, express, shoot, emit, develop, expand",t,
452,66,髮,fà,hair,t,
453,66,发,fà,(Traditional: 发) hair,s,
454,66,髮,fà,(Traditional: 髮) hair,t,
455,66,頭髮,fa,頭髮 tóufa hair,t,
456,66,头发,fa, tóufa hair,s,
457,67,成,chéng,"(Equivalent:  成为 chéngwéi, =变成 biànchéng) become, <family name>",s,
458,67,成,chéng,"(Equivalent:  成為 chéngwéi, =變成 biànchéng) become, <family name>",t,
459,67,成功,chéng, chénggōng succeed,s,
460,67,成功,chéng,成功 chénggōng succeed,t,
461,67,完成,chéng," wánchéng accomplish, complete, fulfill",s,
462,67,完成,chéng,"完成 wánchéng accomplish, complete, fulfill",t,
463,67,成语,chéng, chéngyǔ idiom,s,
464,67,成語,chéng,成語 chéngyǔ idiom,t,
465,68,事,shì,"matter, affair, thing, event, accident, job, responsibility",s,
466,68,事,shì,"matter, affair, thing, event, accident, job, responsibility",t,
467,68,事情,shì, shìqing situation,s,
468,68,事情,shì,事情 shìqing situation,t,
469,69,只,zhǐ,"only, just, merely, <classifier implying ""one of a pair"", animals, vessels, utensils, etc.>",s,
470,69,祇,zhǐ,"only, just, merely, <classifier implying ""one of a pair"", animals, vessels, utensils, etc.>",t,
471,69,一只猫,zhǐ, yì zhǐ māo a cat,s,
472,69,一隻貓,zhǐ,yì zhǐ māo a cat,t,
473,69,隻,zhī,single,t,
474,70,作,zuò,"do, make",s,
475,70,作,zuò,"do, make",t,
476,70,工作,zuò, gōngzuò work,s,
477,70,工作,zuò,工作 gōngzuò work,t,
478,70,作业,zuò, zuòyè homework,s,
479,70,作業,zuò,作業 zuòyè homework,t,
480,70,作践,zuó," zuójian spoil, waste, humiliate, insult",s,
481,70,作踐,zuó,"作踐 zuójian spoil, waste, humiliate, insult",t,
482,70,作,zuō,do,s,
483,70,作,zuō,do,t,
